Anomaly_Index,Predicted_Source_Code,Predicted_Fault_Description,TopFeature_1,TopFeature_2,TopFeature_3,TopContribution_1,TopContribution_2,TopContribution_3
0,F3M,Grid Anomaly (Med),Vdc,ia,ic,6.464406,-0.92696196,0.3386845
1,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,5.721197,0.44243845,-0.0829843
2,F1L,Inverter Fault (Low),ic,ia,ib,3.1448145,1.093321,0.6396329
3,F1M,Inverter Fault (Med),Vpv,Vdc,ic,8.501201,1.3854276,0.709084
4,F4L,PV Array Mismatch (Low),Vdc,ia,Vabc,3.9806404,-1.969782,0.47534597
5,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,4.0195208,0.9245073,0.4084132
6,F6M,MPPT Controller Fault (Med),Vdc,ia,Vpv,3.9888165,-0.31874287,-0.22494277
7,F6L,MPPT Controller Fault (Low),Vdc,Vabc,Vpv,3.8095434,-0.32666746,-0.07866495
8,F6L,MPPT Controller Fault (Low),Vdc,ic,ia,1.4436982,-0.69795513,-0.26049203
9,F4M,PV Array Mismatch (Med),Vdc,Vabc,ia,5.134049,0.24296667,-0.23121858
10,F6L,MPPT Controller Fault (Low),Vdc,ic,Vabc,3.1030407,-0.54728323,-0.45961714
11,F6M,MPPT Controller Fault (Med),Vdc,ia,Vabc,4.300468,0.24287887,0.19004063
12,F6M,MPPT Controller Fault (Med),Vdc,ib,ia,1.5900278,0.53373814,-0.43584108
13,F4M,PV Array Mismatch (Med),Vdc,ic,ia,5.090947,0.52328974,-0.38447136
14,F4L,PV Array Mismatch (Low),Vdc,ia,Vpv,4.282456,0.5250649,0.39213926
15,F4L,PV Array Mismatch (Low),Vdc,Vpv,ib,0.9009565,-0.6521366,0.5906712
16,F7L,Boost Converter Controller Fault (Low),Vdc,Vabc,Vpv,1.9407065,0.6884057,0.23840727
17,F7L,Boost Converter Controller Fault (Low),Vdc,ib,ia,1.7979133,-1.2477654,0.5476108
18,F2L,Feedback Sensor Fault (Low),ia,ib,Vdc,3.154501,-2.577743,2.3823636
